,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"PROGRAM: STU_MVT4
MUKASURAT: 1/1",,,,,,,,,,"TARIKH: 30/05/2024
MASA: 11:34 AM ",,,,,,,,,,
,,,,Module Offering,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Module Code,Module Name,,,,Occurrence,MAV Name,,,Academic Year,,Period Slot,,,Target,Activity,Weeks,Day / Start Duration ,Tutor,Location,Room
,,,,,,,,,,,,,,,,,,,ASSOCIATE PROF. DR. NURSHAMIMI BTE NOR RASHID,UMKL,
,,,,,,,,,,,,,,,,,,,PROF. DR. FUNG SHIN YEE,UMKL,
,,,,,,,,,,,,,,,,,,,ASSOCIATE PROF. DR. MUHAMMAD FAZRIL BIN MOHAMAD RAZIF,UMKL,
,,,,,,,,,,,,,,,,,,,DR. KONG KIN WENG,UMKL,
,,,,,,,,,,,,,,,,,,,DR. KONG BOON HONG,UMKL,
,GDM0026,MIND YOUR MIND: COPING LIFE DEMAND WITH MINDFULNESS,,,,1,MIND YOUR MIND: COPING LIFE DEMAND WITH MINDFULNESS,,,2023,,S2,,,49,LEC,,"FRIDAY
14:30 - 16:30 (02:00)",PROF. DR. SAJARATULNISAH BINTI OTHMAN,UMKL,
,,,,,,,,,,,,,,,,,,,DR. CHUNG TZE YANG,UMKL,
,GDO0016,MEDICATION LITERACY,,,,1,MEDICATION LITERACY,,,2023,,S2,,,66,ONL,,"TUESDAY
10:00 - 12:00 (02:00)",DR. CHIN SEK PENG,UMKL,
,GDP0014,STRESS MANAGEMENT,,,,1,STRESS MANAGEMENT,,,2023,,S2,,,50,ONL,,"TUESDAY
09:30 - 11:30 (02:00)",ASSOCIATE PROF. DR. RAFIDAH BINTI AGA MOHD JALADIN,UMKL,
,GDR0010,DANCE IN THE WORLD,,,,1,DANCE IN THE WORLD,,,2023,,S2,,,30,LEC,,"TUESDAY
13:00 - 15:00 (02:00)",DR. PREMALATHA A/P THIAGARAJAN,UMKL,BS 1 PK
,GDV0020,INTRODUCTION TO SPORTS SCIENCE,,,,1,INTRODUCTION TO SPORTS SCIENCE,,,2023,,S2,,,40,ONL,,"THURSDAY
10:00 - 12:00 (02:00)",DR. NASNOOR JUZAILY BIN MOHD NASIRUDDIN,UMKL,
,GDV0022,SPORT PSYCHOLOGY,,,,1,SPORT PSYCHOLOGY,,,2023,,S2,,,35,ONL,,"TUESDAY
14:00 - 16:00 (02:00)",DR. JADEERA CHEONG PHAIK GEOK BINTI ABDULLAH,UMKL,
